,method,rows,columns,time
24,PredictDT,50,6,47.75827741622925
25,PredictDT,50,6,48.30336833000183
26,PredictDT,50,6,49.259268045425415
27,PredictDT,50,8,64.7034809589386
28,PredictDT,50,8,64.14781308174133
29,PredictDT,50,8,64.37977123260498
30,PredictDT,50,10,172.32770442962646
31,PredictDT,50,10,194.88190340995789
32,PredictDT,50,10,174.74893283843994
33,PredictDT,50,15,120.91405367851257
34,PredictDT,50,15,119.12355017662048
35,PredictDT,50,15,117.05930304527283
36,PredictDT,75,2,36.337817668914795
37,PredictDT,75,2,33.84747838973999
38,PredictDT,75,2,36.17525362968445
39,PredictDT,75,4,71.26851177215576
40,PredictDT,75,4,73.28017377853394
41,PredictDT,75,4,70.71046543121338
0,BuildRF,25,2,1.0162818431854248
1,BuildRF,25,2,0.9185435771942139
2,BuildRF,25,2,0.7978682518005371
3,BuildRF,25,4,2.1672017574310303
4,BuildRF,25,4,2.3836252689361572
5,BuildRF,25,4,2.544602394104004
6,BuildRF,25,6,2.9600837230682373
7,BuildRF,25,6,3.226370334625244
8,BuildRF,25,6,3.1495773792266846
9,BuildRF,25,8,4.256152391433716
10,BuildRF,25,8,4.990064382553101
11,BuildRF,25,8,4.974509954452515
12,BuildRF,25,10,4.583741188049316
13,BuildRF,25,10,4.387265682220459
14,BuildRF,25,10,4.815124273300171
15,BuildRF,25,15,8.284843444824219
16,BuildRF,25,15,6.049819231033325
17,BuildRF,25,15,7.449079513549805
18,BuildRF,50,2,4.428372859954834
19,BuildRF,50,2,3.6312899589538574
20,BuildRF,50,2,5.041516542434692
21,BuildRF,50,4,19.079594135284424
22,BuildRF,50,4,19.13721251487732
23,BuildRF,50,4,7.063109397888184
24,BuildRF,50,6,12.811737060546875
25,BuildRF,50,6,13.094980239868164
26,BuildRF,50,6,13.972877264022827
27,BuildRF,50,8,20.700643301010132
28,BuildRF,50,8,13.567718982696533
29,BuildRF,50,8,14.402483224868774
30,BuildRF,50,10,21.470583200454712
31,BuildRF,50,10,42.840903997421265
32,BuildRF,50,10,40.881815671920776
33,BuildRF,50,15,24.299015760421753
34,BuildRF,50,15,27.484498500823975
35,BuildRF,50,15,26.90704083442688
36,BuildRF,75,2,5.863318920135498
37,BuildRF,75,2,6.65320897102356
38,BuildRF,75,2,7.2166972160339355
39,BuildRF,75,4,19.77212142944336
40,BuildRF,75,4,17.74753713607788
41,BuildRF,75,4,17.726593255996704
0,PredictRF,25,2,11.289807319641113
1,PredictRF,25,2,10.724320650100708
2,PredictRF,25,2,10.300450325012207
3,PredictRF,25,4,38.252293825149536
4,PredictRF,25,4,39.15886116027832
5,PredictRF,25,4,38.19285869598389
6,PredictRF,25,6,55.00808620452881
7,PredictRF,25,6,45.22405695915222
8,PredictRF,25,6,47.06028652191162
9,PredictRF,25,8,74.89901757240295
10,PredictRF,25,8,87.10792517662048
11,PredictRF,25,8,82.11094999313354
12,PredictRF,25,10,104.36825466156006
13,PredictRF,25,10,79.50274205207825
14,PredictRF,25,10,89.52681136131287
